Estación,Latitud,Longitud,Fecha Inicio Evento,Fecha,Fecha Final Evento,Valor,Acumulado 10 dias ,Acumulado 30 dias ,Acumulado 60 dias ,Acumulado 90 dias ,MOVIMIENTO
datos_11077030,6.616666667,-76.75,1969-01-01,1969-01-01,1969-01-01,30.0,0.0,0.0,0.0,0.0,NO
datos_11077030,6.616666667,-76.75,1969-01-02,1969-01-02,1969-01-02,90.0,30.0,30.0,30.0,30.0,NO
datos_11077030,6.616666667,-76.75,1969-01-13,1969-01-13,1969-01-13,11.0,90.0,120.0,120.0,120.0,NO
datos_11077030,6.616666667,-76.75,1969-01-14,1969-01-14,1969-01-14,12.0,11.0,131.0,131.0,131.0,NO
datos_11077030,6.616666667,-76.75,1969-01-17,1969-01-17,1969-01-17,55.0,23.0,143.0,143.0,143.0,NO
datos_11077030,6.616666667,-76.75,1969-01-18,1969-01-18,1969-01-18,70.0,78.0,198.0,198.0,198.0,NO
datos_11077030,6.616666667,-76.75,1969-01-19,1969-01-19,1969-01-19,4.0,148.0,268.0,268.0,268.0,NO
datos_11077030,6.616666667,-76.75,1969-01-20,1969-01-20,1969-01-20,16.0,152.0,272.0,272.0,272.0,NO
datos_11077030,6.616666667,-76.75,1969-01-21,1969-01-21,1969-01-21,21.0,168.0,288.0,288.0,288.0,NO
datos_11077030,6.616666667,-76.75,1969-01-22,1969-01-22,1969-01-22,33.0,189.0,309.0,309.0,309.0,NO
datos_11077030,6.616666667,-76.75,1969-01-23,1969-01-23,1969-01-23,11.0,222.0,342.0,342.0,342.0,NO
datos_11077030,6.616666667,-76.75,1969-01-24,1969-01-24,1969-01-24,23.0,233.0,353.0,353.0,353.0,NO
datos_11077030,6.616666667,-76.75,1969-01-25,1969-01-25,1969-01-25,11.0,245.0,376.0,376.0,376.0,NO
datos_11077030,6.616666667,-76.75,1969-01-26,1969-01-26,1969-01-26,20.0,244.0,387.0,387.0,387.0,NO
datos_11077030,6.616666667,-76.75,1969-01-29,1969-01-29,1969-01-29,55.0,209.0,407.0,407.0,407.0,NO
datos_11077030,6.616666667,-76.75,1969-02-02,1969-02-02,1969-02-02,2.0,153.0,432.0,462.0,462.0,NO
datos_11077030,6.616666667,-76.75,1969-02-03,1969-02-03,1969-02-03,25.0,122.0,344.0,464.0,464.0,NO
datos_11077030,6.616666667,-76.75,1969-02-04,1969-02-04,1969-02-04,19.0,136.0,369.0,489.0,489.0,NO
datos_11077030,6.616666667,-76.75,1969-02-05,1969-02-05,1969-02-05,9.0,132.0,388.0,508.0,508.0,NO
datos_11077030,6.616666667,-76.75,1969-02-06,1969-02-06,1969-02-06,4.0,130.0,397.0,517.0,517.0,NO
datos_11077030,6.616666667,-76.75,1969-02-07,1969-02-07,1969-02-07,25.0,114.0,401.0,521.0,521.0,NO
datos_11077030,6.616666667,-76.75,1969-02-09,1969-02-09,1969-02-09,55.0,139.0,426.0,546.0,546.0,NO
datos_11077030,6.616666667,-76.75,1969-02-13,1969-02-13,1969-02-13,30.0,139.0,481.0,601.0,601.0,NO
datos_11077030,6.616666667,-76.75,1969-02-14,1969-02-14,1969-02-14,4.0,167.0,500.0,631.0,631.0,NO
datos_11077030,6.616666667,-76.75,1969-02-15,1969-02-15,1969-02-15,10.0,146.0,492.0,635.0,635.0,NO
datos_11077030,6.616666667,-76.75,1969-02-21,1969-02-21,1969-02-21,55.0,44.0,357.0,645.0,645.0,NO
datos_11077030,6.616666667,-76.75,1969-02-22,1969-02-22,1969-02-22,23.0,99.0,391.0,700.0,700.0,NO
datos_11077030,6.616666667,-76.75,1969-02-23,1969-02-23,1969-02-23,30.0,122.0,381.0,723.0,723.0,NO
datos_11077030,6.616666667,-76.75,1969-02-26,1969-02-26,1969-02-26,50.0,118.0,366.0,753.0,753.0,NO
datos_11077030,6.616666667,-76.75,1969-03-02,1969-03-02,1969-03-02,29.0,158.0,341.0,803.0,803.0,NO
datos_11077030,6.616666667,-76.75,1969-03-04,1969-03-04,1969-03-04,4.0,187.0,370.0,802.0,832.0,NO
datos_11077030,6.616666667,-76.75,1969-03-06,1969-03-06,1969-03-06,20.0,113.0,372.0,716.0,836.0,NO
datos_11077030,6.616666667,-76.75,1969-03-07,1969-03-07,1969-03-07,5.0,103.0,367.0,736.0,856.0,NO
datos_11077030,6.616666667,-76.75,1969-03-10,1969-03-10,1969-03-10,21.0,58.0,340.0,741.0,861.0,NO
datos_11077030,6.616666667,-76.75,1969-03-12,1969-03-12,1969-03-12,82.0,79.0,336.0,762.0,882.0,NO
datos_11077030,6.616666667,-76.75,1969-03-14,1969-03-14,1969-03-14,60.0,132.0,363.0,844.0,964.0,NO
datos_11077030,6.616666667,-76.75,1969-03-21,1969-03-21,1969-03-21,54.0,163.0,379.0,756.0,1024.0,NO
datos_11077030,6.616666667,-76.75,1969-03-24,1969-03-24,1969-03-24,21.0,114.0,433.0,769.0,1078.0,NO
datos_11077030,6.616666667,-76.75,1969-03-25,1969-03-25,1969-03-25,25.0,135.0,399.0,757.0,1099.0,NO
datos_11077030,6.616666667,-76.75,1969-03-27,1969-03-27,1969-03-27,33.0,100.0,371.0,748.0,1124.0,NO
datos_11077030,6.616666667,-76.75,1969-04-05,1969-04-05,1969-04-05,20.0,58.0,321.0,693.0,1037.0,NO
datos_11077030,6.616666667,-76.75,1969-04-08,1969-04-08,1969-04-08,34.0,20.0,316.0,660.0,1057.0,NO
datos_11077030,6.616666667,-76.75,1969-04-11,1969-04-11,1969-04-11,30.0,54.0,329.0,665.0,1091.0,NO
