Estación,Latitud,Longitud,Fecha Inicio Evento,Fecha,Fecha Final Evento,Valor,Acumulado 10 dias ,Acumulado 30 dias ,Acumulado 60 dias ,Acumulado 90 dias ,MOVIMIENTO
datos_11140010,8.0,-76.95,1987-07-15,1987-07-15,1987-07-15,42.0,0.0,0.0,0.0,0.0,NO
datos_11140010,8.0,-76.95,1987-07-16,1987-07-16,1987-07-16,20.0,42.0,42.0,42.0,42.0,NO
datos_11140010,8.0,-76.95,1987-07-20,1987-07-20,1987-07-20,24.0,62.0,62.0,62.0,62.0,NO
datos_11140010,8.0,-76.95,1987-07-21,1987-07-21,1987-07-21,19.0,86.0,86.0,86.0,86.0,NO
datos_11140010,8.0,-76.95,1987-07-26,1987-07-26,1987-07-26,40.0,105.0,105.0,105.0,105.0,NO
datos_11140010,8.0,-76.95,1987-07-27,1987-07-27,1987-07-27,35.0,103.0,145.0,145.0,145.0,NO
datos_11140010,8.0,-76.95,1987-07-28,1987-07-28,1987-07-28,7.0,118.0,180.0,180.0,180.0,NO
datos_11140010,8.0,-76.95,1987-07-31,1987-07-31,1987-07-31,70.0,125.0,187.0,187.0,187.0,NO
datos_11140010,8.0,-76.95,1987-08-01,1987-08-01,1987-08-01,1.0,171.0,257.0,257.0,257.0,NO
datos_11140010,8.0,-76.95,1987-08-04,1987-08-04,1987-08-04,71.0,153.0,258.0,258.0,258.0,NO
datos_11140010,8.0,-76.95,1987-08-06,1987-08-06,1987-08-06,45.0,224.0,329.0,329.0,329.0,NO
datos_11140010,8.0,-76.95,1987-08-07,1987-08-07,1987-08-07,70.0,229.0,374.0,374.0,374.0,NO
datos_11140010,8.0,-76.95,1987-08-08,1987-08-08,1987-08-08,3.0,264.0,444.0,444.0,444.0,NO
datos_11140010,8.0,-76.95,1987-08-09,1987-08-09,1987-08-09,16.0,260.0,447.0,447.0,447.0,NO
datos_11140010,8.0,-76.95,1987-08-10,1987-08-10,1987-08-10,17.0,276.0,463.0,463.0,463.0,NO
datos_11140010,8.0,-76.95,1987-08-12,1987-08-12,1987-08-12,2.0,223.0,480.0,480.0,480.0,NO
datos_11140010,8.0,-76.95,1987-08-15,1987-08-15,1987-08-15,4.0,224.0,482.0,482.0,482.0,NO
datos_11140010,8.0,-76.95,1987-08-16,1987-08-16,1987-08-16,21.0,157.0,444.0,486.0,486.0,NO
datos_11140010,8.0,-76.95,1987-08-17,1987-08-17,1987-08-17,6.0,178.0,445.0,507.0,507.0,NO
datos_11140010,8.0,-76.95,1987-08-18,1987-08-18,1987-08-18,17.0,139.0,451.0,513.0,513.0,NO
datos_11140010,8.0,-76.95,1987-08-19,1987-08-19,1987-08-19,37.0,86.0,468.0,530.0,530.0,NO
datos_11140010,8.0,-76.95,1987-08-20,1987-08-20,1987-08-20,58.0,120.0,505.0,567.0,567.0,NO
datos_11140010,8.0,-76.95,1987-08-21,1987-08-21,1987-08-21,7.0,162.0,539.0,625.0,625.0,NO
datos_11140010,8.0,-76.95,1987-08-25,1987-08-25,1987-08-25,45.0,150.0,527.0,632.0,632.0,NO
datos_11140010,8.0,-76.95,1987-08-26,1987-08-26,1987-08-26,10.0,195.0,572.0,677.0,677.0,NO
datos_11140010,8.0,-76.95,1987-08-27,1987-08-27,1987-08-27,22.0,201.0,542.0,687.0,687.0,NO
datos_11140010,8.0,-76.95,1987-08-29,1987-08-29,1987-08-29,38.0,196.0,522.0,709.0,709.0,NO
datos_11140010,8.0,-76.95,1987-08-30,1987-08-30,1987-08-30,45.0,217.0,560.0,747.0,747.0,NO
datos_11140010,8.0,-76.95,1987-08-31,1987-08-31,1987-08-31,92.0,225.0,605.0,792.0,792.0,NO
datos_11140010,8.0,-76.95,1987-09-09,1987-09-09,1987-09-09,58.0,175.0,437.0,884.0,884.0,NO
datos_11140010,8.0,-76.95,1987-09-17,1987-09-17,1987-09-17,50.0,58.0,435.0,880.0,942.0,NO
datos_11140010,8.0,-76.95,1987-09-18,1987-09-18,1987-09-18,90.0,108.0,479.0,930.0,992.0,NO
datos_11140010,8.0,-76.95,1987-09-19,1987-09-19,1987-09-19,20.0,198.0,552.0,1020.0,1082.0,NO
datos_11140010,8.0,-76.95,1987-09-20,1987-09-20,1987-09-20,10.0,218.0,535.0,1016.0,1102.0,NO
datos_11140010,8.0,-76.95,1987-09-21,1987-09-21,1987-09-21,53.0,170.0,487.0,1007.0,1112.0,NO
datos_11140010,8.0,-76.95,1987-09-22,1987-09-22,1987-09-22,22.0,223.0,533.0,1060.0,1165.0,NO
datos_11140010,8.0,-76.95,1987-09-24,1987-09-24,1987-09-24,40.0,245.0,555.0,1082.0,1187.0,NO
datos_11140010,8.0,-76.95,1987-09-25,1987-09-25,1987-09-25,53.0,285.0,595.0,1122.0,1227.0,NO
datos_11140010,8.0,-76.95,1987-09-26,1987-09-26,1987-09-26,15.0,338.0,603.0,1135.0,1280.0,NO
datos_11140010,8.0,-76.95,1987-09-27,1987-09-27,1987-09-27,20.0,353.0,608.0,1115.0,1295.0,NO
datos_11140010,8.0,-76.95,1987-09-29,1987-09-29,1987-09-29,10.0,323.0,606.0,1128.0,1315.0,NO
datos_11140010,8.0,-76.95,1987-09-30,1987-09-30,1987-09-30,22.0,243.0,578.0,1138.0,1325.0,NO
datos_11140010,8.0,-76.95,1987-10-01,1987-10-01,1987-10-01,20.0,245.0,555.0,1090.0,1347.0,NO
datos_11140010,8.0,-76.95,1987-10-03,1987-10-03,1987-10-03,15.0,202.0,483.0,1109.0,1367.0,NO
datos_11140010,8.0,-76.95,1987-11-14,1987-11-14,1987-11-14,130.0,0.0,0.0,440.0,900.0,NO
datos_11140010,8.0,-76.95,1988-04-01,1988-04-01,1988-04-01,35.0,0.0,0.0,0.0,0.0,NO
datos_11140010,8.0,-76.95,1988-04-08,1988-04-08,1988-04-08,37.0,35.0,35.0,35.0,35.0,NO
datos_11140010,8.0,-76.95,1988-04-11,1988-04-11,1988-04-11,54.0,72.0,72.0,72.0,72.0,NO
datos_11140010,8.0,-76.95,1988-04-18,1988-04-18,1988-04-18,3.0,91.0,126.0,126.0,126.0,NO
datos_11140010,8.0,-76.95,1988-04-22,1988-04-22,1988-04-22,1.0,57.0,129.0,129.0,129.0,NO
datos_11140010,8.0,-76.95,1988-04-25,1988-04-25,1988-04-25,11.0,4.0,130.0,130.0,130.0,NO
datos_11140010,8.0,-76.95,1988-04-26,1988-04-26,1988-04-26,19.0,15.0,141.0,141.0,141.0,NO
datos_11140010,8.0,-76.95,1988-04-27,1988-04-27,1988-04-27,3.0,34.0,160.0,160.0,160.0,NO
datos_11140010,8.0,-76.95,1988-04-28,1988-04-28,1988-04-28,122.0,37.0,163.0,163.0,163.0,NO
datos_11140010,8.0,-76.95,1988-05-01,1988-05-01,1988-05-01,3.0,156.0,285.0,285.0,285.0,NO
datos_11140010,8.0,-76.95,1988-05-02,1988-05-02,1988-05-02,14.0,159.0,288.0,288.0,288.0,NO
datos_11140010,8.0,-76.95,1988-05-03,1988-05-03,1988-05-03,11.0,173.0,267.0,302.0,302.0,NO
datos_11140010,8.0,-76.95,1988-05-06,1988-05-06,1988-05-06,35.0,183.0,278.0,313.0,313.0,NO
datos_11140010,8.0,-76.95,1988-05-09,1988-05-09,1988-05-09,3.0,185.0,313.0,348.0,348.0,NO
datos_11140010,8.0,-76.95,1988-05-10,1988-05-10,1988-05-10,61.0,66.0,279.0,351.0,351.0,NO
datos_11140010,8.0,-76.95,1988-05-14,1988-05-14,1988-05-14,21.0,110.0,286.0,412.0,412.0,NO
datos_11140010,8.0,-76.95,1988-05-19,1988-05-19,1988-05-19,5.0,85.0,307.0,433.0,433.0,NO
datos_11140010,8.0,-76.95,1988-05-20,1988-05-20,1988-05-20,12.0,90.0,309.0,438.0,438.0,NO
datos_11140010,8.0,-76.95,1988-05-21,1988-05-21,1988-05-21,47.0,99.0,321.0,450.0,450.0,NO
datos_11140010,8.0,-76.95,1988-05-24,1988-05-24,1988-05-24,95.0,85.0,367.0,497.0,497.0,NO
